Месяц,x1,x2,x2_origin,x3,dx1,dx2,dx3,y
Дек,1.84,1.22,0.2,60.02,89.58,514.55,0.99,655.43
Дек,1.92,1.74,0.2,60.02,137.84,522.95,0.96,932.54
Дек,2.06,2.26,0.2,60.02,186.89,535.88,0.92,1231.78
Дек,2.25,2.8,0.2,60.03,237.15,553.41,0.86,1563.26
Дек,2.49,3.35,0.2,60.03,289.05,575.65,0.79,1938.07
Дек,2.78,3.92,0.2,60.03,343.04,602.76,0.7,2368.6
Дек,3.12,4.53,0.2,60.03,399.58,634.94,0.59,2869.0
Дек,1.8,0.36,0.36,60.03,8.74,511.23,1.0,211.65
Дек,1.81,0.87,0.36,60.03,56.69,512.05,1.0,473.5
Дек,1.87,1.38,0.36,60.03,104.71,517.36,0.98,741.63
Дек,1.97,1.9,0.36,60.03,153.24,527.18,0.95,1025.34
Дек,2.12,2.43,0.36,60.03,202.68,541.56,0.9,1334.33
Дек,2.33,2.97,0.36,60.03,253.48,560.57,0.84,1678.99
Дек,2.58,3.53,0.36,60.03,306.05,584.34,0.76,2070.8
Дек,2.89,4.11,0.36,60.03,360.86,613.05,0.66,2522.7
Дек,3.25,4.73,0.36,60.04,418.36,646.89,0.55,3049.5
Дек,1.8,0.52,0.52,60.04,23.74,511.23,1.0,293.46
Дек,1.82,1.03,0.52,60.04,71.69,513.45,0.99,556.51
Дек,1.9,1.54,0.52,60.04,119.85,520.18,0.97,828.74
Дек,2.02,2.06,0.52,60.04,168.64,531.42,0.93,1119.54
Дек,2.18,2.6,0.52,60.04,218.48,547.24,0.88,1438.79
Дек,2.4,3.14,0.52,60.04,269.81,567.73,0.81,1797.21
Дек,2.67,3.71,0.52,60.04,323.06,593.03,0.73,2206.69
Дек,3.0,4.3,0.52,60.04,378.68,623.33,0.63,2680.71
