PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2020,59.75,29.75,99.88,99.02,100.55,100.06,100.54,100.84,100.21,100.58,100.55,100.59,100.88,101.14,100.41
PS,2020,59.75,30.25,99.98,99.12,100.64,100.14,100.63,100.93,100.3,100.67,100.64,100.71,101.0,101.28,100.51
PS,2020,59.75,30.75,100.07,99.23,100.74,100.22,100.71,101.03,100.39,100.76,100.74,100.82,101.11,101.42,100.61
PS,2020,59.75,31.25,100.2,99.37,100.88,100.34,100.83,101.16,100.52,100.88,100.88,100.97,101.26,101.6,100.75
PS,2020,59.75,31.75,100.18,99.36,100.86,100.31,100.81,101.15,100.5,100.86,100.86,100.97,101.25,101.61,100.73
PS,2020,59.75,32.25,100.12,99.3,100.8,100.24,100.74,101.1,100.44,100.8,100.81,100.92,101.2,101.59,100.68
PS,2020,59.75,32.75,100.0,99.19,100.68,100.11,100.61,100.99,100.33,100.69,100.7,100.83,101.1,101.5,100.57
PS,2020,59.75,33.25,99.77,98.97,100.45,99.87,100.38,100.78,100.11,100.46,100.49,100.62,100.88,101.3,100.35
PS,2020,59.75,33.75,99.32,98.53,100.01,99.41,99.93,100.36,99.69,100.03,100.07,100.2,100.45,100.89,99.91
PS,2020,59.75,34.25,98.79,98.02,99.48,98.88,99.41,99.87,99.19,99.53,99.57,99.7,99.93,100.39,99.4
PS,2020,59.75,34.75,98.5,97.75,99.2,98.59,99.13,99.62,98.93,99.26,99.31,99.45,99.67,100.14,99.14
PS,2020,59.75,35.25,98.39,97.64,99.1,98.48,99.02,99.53,98.83,99.16,99.21,99.36,99.57,100.07,99.04
PS,2020,60.25,27.75,100.42,99.54,101.11,100.7,101.18,101.44,100.76,101.16,101.09,101.11,101.39,101.59,100.96
PS,2020,60.25,28.25,100.41,99.54,101.1,100.68,101.16,101.43,100.75,101.15,101.08,101.12,101.39,101.62,100.96
PS,2020,60.25,28.75,100.3,99.44,101.0,100.56,101.05,101.33,100.65,101.04,100.98,101.03,101.3,101.55,100.86
PS,2020,60.25,29.25,100.15,99.3,100.85,100.39,100.89,101.19,100.51,100.9,100.84,100.9,101.16,101.44,100.72
PS,2020,60.25,29.75,100.08,99.23,100.78,100.31,100.82,101.13,100.45,100.83,100.78,100.85,101.11,101.41,100.66
PS,2020,60.25,30.25,100.1,99.26,100.8,100.31,100.83,101.16,100.46,100.85,100.8,100.89,101.14,101.47,100.68
PS,2020,60.25,30.75,100.19,99.36,100.9,100.39,100.92,101.25,100.56,100.94,100.9,101.0,101.26,101.61,100.78
PS,2020,60.25,31.25,100.35,99.52,101.06,100.54,101.07,101.41,100.71,101.09,101.06,101.17,101.43,101.8,100.94
PS,2020,60.25,31.75,100.37,99.55,101.08,100.55,101.08,101.43,100.73,101.11,101.08,101.21,101.46,101.86,100.97
PS,2020,60.25,32.25,100.32,99.51,101.03,100.49,101.02,101.39,100.68,101.06,101.04,101.18,101.43,101.85,100.92
PS,2020,60.25,32.75,100.19,99.39,100.9,100.34,100.88,101.27,100.56,100.93,100.92,101.07,101.31,101.75,100.8
PS,2020,60.25,33.25,99.94,99.15,100.66,100.09,100.64,101.05,100.33,100.69,100.7,100.85,101.08,101.54,100.57
PS,2020,60.25,33.75,99.54,98.76,100.26,99.68,100.24,100.67,99.95,100.31,100.32,100.47,100.69,101.16,100.18
PS,2020,60.25,34.25,98.95,98.18,99.68,99.09,99.66,100.13,99.4,99.75,99.76,99.92,100.12,100.6,99.61
PS,2020,60.25,34.75,98.49,97.74,99.23,98.63,99.21,99.71,98.98,99.32,99.34,99.49,99.68,100.17,99.17
PS,2020,60.25,35.25,98.24,97.51,98.99,98.38,98.97,99.49,98.75,99.08,99.11,99.27,99.45,99.96,98.94
PS,2020,60.75,27.75,99.94,99.08,100.66,100.27,100.78,101.07,100.33,100.76,100.67,100.71,100.94,101.17,100.54
PS,2020,60.75,28.25,100.01,99.15,100.73,100.32,100.84,101.15,100.41,100.83,100.74,100.8,101.02,101.28,100.61
PS,2020,60.75,28.75,100.04,99.19,100.76,100.34,100.86,101.18,100.44,100.86,100.78,100.84,101.07,101.35,100.65
PS,2020,60.75,29.25,100.01,99.17,100.74,100.3,100.83,101.16,100.42,100.83,100.75,100.83,101.05,101.36,100.62
PS,2020,60.75,29.75,100.0,99.17,100.73,100.27,100.82,101.16,100.41,100.82,100.75,100.84,101.06,101.39,100.62
PS,2020,60.75,30.25,100.09,99.27,100.83,100.36,100.91,101.26,100.51,100.91,100.84,100.95,101.17,101.53,100.72
PS,2020,60.75,30.75,100.27,99.45,101.01,100.52,101.08,101.43,100.68,101.08,101.02,101.14,101.36,101.75,100.9
PS,2020,60.75,31.25,100.39,99.57,101.13,100.63,101.19,101.55,100.8,101.19,101.14,101.28,101.49,101.91,101.03
PS,2020,60.75,31.75,100.44,99.63,101.19,100.67,101.23,101.6,100.85,101.24,101.19,101.34,101.56,102.0,101.08
PS,2020,60.75,32.25,100.34,99.54,101.09,100.55,101.12,101.51,100.75,101.13,101.1,101.26,101.47,101.93,100.99
PS,2020,60.75,32.75,100.14,99.35,100.89,100.34,100.92,101.33,100.57,100.94,100.92,101.08,101.29,101.76,100.8
PS,2020,60.75,33.25,99.87,99.09,100.63,100.06,100.65,101.08,100.32,100.69,100.67,100.84,101.03,101.52,100.54
PS,2020,60.75,33.75,99.51,98.74,100.27,99.7,100.3,100.75,99.99,100.35,100.34,100.51,100.69,101.19,100.2
PS,2020,60.75,34.25,99.15,98.39,99.91,99.33,99.95,100.42,99.65,100.0,99.99,100.17,100.34,100.85,99.85
PS,2020,60.75,34.75,98.94,98.2,99.72,99.13,99.75,100.24,99.47,99.82,99.81,99.99,100.15,100.68,99.67
PS,2020,60.75,35.25,98.83,98.1,99.61,99.01,99.64,100.15,99.37,99.71,99.72,99.9,100.06,100.6,99.57
WS2M,2019,58.75,27.75,1.83,2.82,2.74,1.85,2.0,1.97,1.89,1.74,2.04,1.96,1.89,2.37,2.09
WS2M,2019,58.75,28.25,1.08,1.63,1.56,1.02,0.99,0.97,0.93,0.87,0.99,0.94,0.97,1.29,1.1
WS2M,2019,58.75,28.75,0.67,0.95,0.8,0.46,0.31,0.28,0.27,0.26,0.28,0.29,0.41,0.69,0.47
WS2M,2019,58.75,29.25,0.54,0.73,0.6,0.33,0.16,0.13,0.13,0.14,0.13,0.15,0.27,0.52,0.32
WS2M,2019,58.75,29.75,0.49,0.66,0.54,0.3,0.14,0.11,0.12,0.13,0.11,0.13,0.24,0.47,0.29
WS2M,2019,58.75,30.25,0.49,0.7,0.61,0.37,0.23,0.2,0.21,0.21,0.2,0.2,0.3,0.51,0.35
WS2M,2019,58.75,30.75,0.53,0.77,0.71,0.45,0.34,0.31,0.32,0.31,0.3,0.3,0.38,0.58,0.44
WS2M,2019,58.75,31.25,0.54,0.76,0.68,0.41,0.3,0.28,0.29,0.28,0.27,0.28,0.38,0.59,0.42
WS2M,2019,58.75,31.75,0.52,0.7,0.57,0.31,0.18,0.16,0.17,0.16,0.15,0.18,0.31,0.54,0.33
WS2M,2019,58.75,32.25,0.52,0.68,0.52,0.25,0.11,0.09,0.1,0.08,0.08,0.11,0.27,0.52,0.27
WS2M,2019,58.75,32.75,0.54,0.7,0.51,0.24,0.08,0.05,0.06,0.05,0.05,0.09,0.26,0.52,0.26
WS2M,2019,58.75,33.25,0.56,0.73,0.54,0.25,0.09,0.06,0.07,0.06,0.06,0.1,0.28,0.54,0.28
WS2M,2019,58.75,33.75,0.58,0.76,0.58,0.29,0.11,0.08,0.09,0.09,0.08,0.13,0.3,0.56,0.3
WS2M,2019,58.75,34.25,0.56,0.76,0.6,0.32,0.15,0.11,0.12,0.11,0.11,0.16,0.31,0.55,0.32
WS2M,2019,58.75,34.75,0.56,0.76,0.61,0.33,0.15,0.1,0.12,0.11,0.1,0.17,0.3,0.54,0.32
WS2M,2019,58.75,35.25,0.64,0.87,0.69,0.36,0.21,0.15,0.17,0.16,0.14,0.24,0.36,0.62,0.39
WS2M,2019,59.25,27.75,2.48,3.17,2.78,1.79,1.89,1.95,1.99,1.86,2.34,2.35,2.52,2.96,2.34
WS2M,2019,59.25,28.25,1.66,2.07,1.83,1.2,1.19,1.23,1.29,1.2,1.51,1.52,1.64,1.95,1.52
WS2M,2019,59.25,28.75,0.9,1.16,0.98,0.6,0.51,0.5,0.53,0.5,0.6,0.64,0.76,1.0,0.72
WS2M,2019,59.25,29.25,0.6,0.8,0.65,0.35,0.21,0.16,0.18,0.18,0.18,0.24,0.36,0.6,0.37
WS2M,2019,59.25,29.75,0.55,0.77,0.6,0.33,0.17,0.12,0.14,0.14,0.12,0.17,0.31,0.55,0.33
WS2M,2019,59.25,30.25,0.57,0.8,0.63,0.34,0.2,0.15,0.17,0.16,0.14,0.19,0.33,0.57,0.35
WS2M,2019,59.25,30.75,0.56,0.77,0.61,0.33,0.19,0.14,0.16,0.15,0.12,0.18,0.31,0.55,0.34
WS2M,2019,59.25,31.25,0.55,0.75,0.59,0.31,0.16,0.11,0.14,0.12,0.11,0.16,0.3,0.55,0.32
WS2M,2019,59.25,31.75,0.54,0.71,0.53,0.25,0.1,0.06,0.08,0.07,0.06,0.11,0.27,0.52,0.27
WS2M,2019,59.25,32.25,0.55,0.72,0.53,0.24,0.08,0.04,0.07,0.05,0.05,0.09,0.27,0.52,0.26
WS2M,2019,59.25,32.75,0.56,0.75,0.54,0.24,0.08,0.04,0.06,0.05,0.05,0.09,0.27,0.54,0.27
